"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
395,2024,"CA","BLM Bureau of Land Management","CDD","IRIS","00002185",2024-02-11 08:00:00,2024-02-16 08:00:00,"Unknown/Unidentified","Mixed Methods","Suppression (Wildfire)",10.41189,"Visible camp fire left in the general area, completely destroyed by fire.",NA,"{8D738784-51D6-48F0-9D25-1493EFE6182D}",NA,NA,"2020-January 2025",60462.69921875,1159.06523972797,-115.503150704771,33.288833998015,10.13271484375
121,2024,"CA","BLM Bureau of Land Management","CDD","PALMAS","00003141",2024-02-20 08:00:00,2024-02-25 08:00:00,"Escaped Prescribed Burn","Mixed Methods","Suppression (Wildfire)",239.119,"Pile created outside burn unit, ignited under a palm tree and spotted into adjacent palm grove.",NA,"{63AB254A-5216-488D-A43E-15117E0FC4E3}",NA,NA,"2020-January 2025",1395399.4453125,15380.4902521717,-115.81779609832,33.5035982968225,16.5833984375
161,2024,"CA","CDF CAL FIRE (State)","BDU","CARTAGO","00004752",2024-04-04 07:00:00,2024-04-09 07:00:00,"Powerline","Infrared (IR)","Suppression (Wildfire)",101.3442,NA,NA,"{8C9C3EB8-250F-43B2-9BEB-CE234421AD27}",NA,NA,"2020-January 2025",632878.6875,6901.72654996001,-118.02177239333,36.3108302267655,5.21547851562502
118,2024,"CA","CCO Contract County","KRN","GARDNER","02415171",2024-04-12 07:00:00,2024-04-13 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",254.9848,NA,NA,"{5816A6F9-BD90-4995-84EA-26A581E7051D}",NA,NA,"2020-January 2025",1547368.01171875,8543.94165287284,-119.397844607524,35.1600267936567,16.70302734375
195,2024,"CA","CCO Contract County","KRN","BURBANK","02415189",2024-04-12 07:00:00,2024-04-12 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",62.28129,NA,NA,NA,NA,NA,"2020-January 2025",380815.484375,3583.49775936078,-119.211906617157,35.4684348856978,18.09658203125
514,2024,"CA","CCO Contract County","KRN","JAMES","02415340",2024-04-13 07:00:00,2024-04-13 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",2.685362,NA,NA,NA,NA,NA,"2020-January 2025",16417.48046875,1248.88314375928,-119.055875511936,35.4632905394176,15.29287109375
133,2024,"CA","CDF CAL FIRE (State)","FKU","YORK","00007893",2024-04-21 07:00:00,2024-04-21 07:00:00,"Powerline","GPS Ground","Suppression (Wildfire)",181.9529,NA,NA,"{C8B4475B-B0A5-4754-BF5F-1EBC72A439FC}",NA,NA,"2020-January 2025",1122635.60546875,4663.65489334382,-120.05499517431,35.8319829098263,17.002099609375
313,2024,"CA","USF U.S. Forest Service","TNF","PENDOLA","00000345",2024-04-21 07:00:00,2024-04-22 07:00:00,"Debris","GPS Ground","Suppression (Wildfire)",18.55979,NA,NA,"{178A9814-FA54-4452-9AD8-E3125C7511D9}",NA,NA,"2020-January 2025",126212.28125,2022.0831657929,-121.091426478951,39.4726778058522,12.141015625
488,2024,"CA","CCO Contract County","KRN","EDISON","02416626",2024-04-21 07:00:00,2024-04-21 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",4.048448,NA,NA,NA,NA,NA,"2020-January 2025",24690.015625,696.839176876512,-118.887799907757,35.362718883999,14.917626953125
330,2024,"CA","LRA Local Responsibility Area","TGU","HIGHWAY","00004569",2024-04-22 07:00:00,2024-04-22 07:00:00,"Debris","GPS Ground",NA,16.6015,NA,NA,"{259E4C58-2958-4845-A25B-EFF0083DFADA}",NA,NA,"2020-January 2025",114245.55078125,2404.65597841783,-121.967473009034,39.8865205188484,17.20205078125
112,2024,"CA","CCO Contract County","KRN","AVE 80","02417540",2024-04-27 07:00:00,2024-04-28 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",272.9945,"Veg fire, County line and Scofield",NA,NA,NA,NA,"2020-January 2025",1682385.58984375,6484.30231865997,-119.395926201123,35.7850767509654,15.0072265625
288,2024,"CA","CCO Contract County","KRN","POND","02417515",2024-04-27 07:00:00,2024-04-27 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",23.75165,"LRA",NA,NA,NA,NA,"2020-January 2025",146209,1971.70126260858,-119.475395632496,35.7396850341127,15.46767578125
320,2024,"CA","CCO Contract County","KRN","SNAKE","02417702",2024-04-28 07:00:00,2024-04-29 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",17.69939,NA,NA,NA,NA,NA,"2020-January 2025",106716.03125,1374.57077328372,-118.190979605871,34.893341399153,10.0638671875
549,2024,"CA","CDF CAL FIRE (State)","MEU","CREEK","00005797",2024-04-28 07:00:00,2024-04-28 07:00:00,"Equipment Use","GPS Ground","Suppression (Wildfire)",0.0751732,NA,NA,NA,NA,NA,"2020-January 2025",514.7734375,89.5611244049357,-123.506679926162,39.7156373765782,7.99721679687502
446,2024,"CA","CCO Contract County","KRN","HAMILTON","02418169",2024-05-01 07:00:00,2024-05-02 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",5.841907,"GPS taken by Crew 11",NA,NA,NA,NA,"2020-January 2025",35213.48828125,1125.96349737218,-118.308449184449,34.8822109092102,13.182275390625
